,Unnamed: 0,Unnamed: 0.1,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
80,80,80,8,11,1,81.9,71.03,0.0,10.9,Partially cloudy,3
81,81,81,8,12,1,83.0,70.08,0.0,12.1,Partially cloudy,3
82,82,82,8,13,2,81.1,71.6,0.03,9.2,"Rain, Partially cloudy",7
83,83,83,8,14,1,82.3,66.64,0.0,9.7,Partially cloudy,3
84,84,84,8,16,2,81.3,71.8,0.0,9.9,Partially cloudy,7
85,85,85,8,29,1,81.5,63.36,0.0,12.8,Partially cloudy,3
86,86,86,8,30,1,80.7,64.33,0.0,13.9,Clear,4
87,87,87,9,1,1,80.6,70.03,0.65,8.1,"Rain, Partially cloudy",4
88,88,88,9,5,2,77.1,65.16,0.0,6.4,Clear,7
89,89,89,9,7,1,79.4,57.4,0.0,6.9,Clear,4
90,90,90,9,9,2,80.4,55.9,0.0,9.9,Partially cloudy,7
91,91,91,9,10,1,80.1,57.95,0.0,9.2,Partially cloudy,4
92,92,92,9,11,1,80.6,63.1,0.0,10.3,Partially cloudy,4
93,93,93,9,22,1,78.2,64.29,0.0,11.0,Clear,4
94,94,94,9,24,1,79.7,63.7,0.0,5.3,Clear,3
95,95,95,10,3,1,71.2,61.92,0.0,6.9,Partially cloudy,4
96,96,96,10,4,1,73.2,63.29,0.0,16.1,Partially cloudy,3
97,97,97,10,6,1,69.8,66.0,0.0,15.0,Clear,3
98,98,98,10,16,1,70.0,72.85,0.04,8.1,"Rain, Partially cloudy",3
99,99,99,10,19,1,74.3,63.47,0.0,6.9,Partially cloudy,4
100,100,100,10,21,1,64.4,56.44,0.0,23.6,Partially cloudy,4
101,101,101,10,24,1,62.7,50.02,0.0,15.0,Partially cloudy,4
102,102,102,10,25,2,63.0,52.67,0.0,9.2,Clear,6
103,103,103,10,30,1,68.8,59.29,0.0,9.7,Clear,4
104,104,104,11,18,1,60.2,54.4,0.0,7.5,Clear,3
105,105,105,11,21,1,46.5,26.25,0.0,15.0,Clear,3
106,106,106,11,29,1,63.9,88.55,2.09,20.1,"Rain, Overcast",4
107,107,107,12,3,2,47.2,63.96,0.09,9.2,"Rain, Partially cloudy",6
108,108,108,12,7,1,51.1,73.16,0.0,9.2,Partially cloudy,4
109,109,109,12,11,1,38.6,58.35,0.0,9.7,Partially cloudy,3
110,110,110,12,12,1,52.0,76.82,0.0,9.4,Overcast,3
111,111,111,12,13,2,50.4,93.79,0.06,8.3,"Rain, Overcast",7
112,112,112,12,15,1,37.0,49.95,0.0,17.9,Partially cloudy,3
113,113,113,12,18,2,54.3,86.01,0.17,20.2,"Rain, Overcast",8
114,114,114,12,27,1,62.2,86.62,0.01,12.6,"Rain, Overcast",4
115,115,115,12,28,1,55.9,67.24,0.0,7.5,Partially cloudy,3
