Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions
05,25,1,74.8,51.92,0.0,9.7,Clear
05,28,2,76.1,53.09,0.0,10.4,Clear
05,31,1,80.1,54.43,0.0,8.1,Partially cloudy
06,01,1,78.0,63.2,0.0,12.1,Partially cloudy
06,03,1,80.6,61.73,0.0,9.7,Partially cloudy
06,04,1,79.6,63.46,0.0,13.3,Partially cloudy
06,07,2,78.6,63.68,0.13,16.1,"Rain, Partially cloudy"
06,09,2,74.5,50.76,0.0,7.5,Partially cloudy
06,11,1,82.4,51.95,0.0,8.1,Partially cloudy
06,12,1,83.3,61.45,0.0,12.1,Partially cloudy
06,14,1,79.8,70.94,0.99,15.5,"Rain, Partially cloudy"
06,16,2,81.4,63.47,0.16,12.1,"Rain, Partially cloudy"
06,19,1,75.7,53.67,0.0,13.8,Partially cloudy
06,24,1,84.7,55.51,0.0,12.1,Partially cloudy
06,26,1,79.4,69.21,0.36,12.6,"Rain, Partially cloudy"
06,28,1,78.2,75.56,0.36,15.0,"Rain, Partially cloudy"
06,29,2,81.6,61.52,0.0,9.2,Partially cloudy
07,01,1,83.1,57.13,0.0,13.2,Partially cloudy
07,04,2,84.3,64.56,0.02,12.7,"Rain, Partially cloudy"
07,05,1,79.2,79.38,0.56,16.1,"Rain, Partially cloudy"
07,06,2,76.3,82.65,0.76,14.4,"Rain, Partially cloudy"
07,10,1,80.9,63.84,0.0,11.5,Partially cloudy
07,16,1,80.4,67.92,0.0,12.8,Partially cloudy
07,18,1,82.2,68.75,0.01,11.5,"Rain, Partially cloudy"
07,19,1,83.1,67.93,0.28,11.5,"Rain, Partially cloudy"
07,21,1,80.7,71.39,0.03,17.8,"Rain, Partially cloudy"
07,22,2,81.0,70.77,0.0,8.6,Partially cloudy
07,23,2,82.7,68.69,0.0,9.7,Partially cloudy
07,24,1,83.9,66.25,0.0,9.9,Partially cloudy
07,30,1,78.6,80.29,0.76,8.6,"Rain, Partially cloudy"
08,01,3,78.5,81.47,0.01,10.8,"Rain, Partially cloudy"
08,04,3,81.7,74.66,0.18,9.7,"Rain, Partially cloudy"
08,07,1,83.2,73.19,0.16,12.1,"Rain, Partially cloudy"
08,10,1,79.6,79.07,0.16,11.0,"Rain, Overcast"
08,11,1,81.9,71.03,0.0,10.9,Partially cloudy
08,12,1,83.0,70.08,0.0,12.1,Partially cloudy
08,13,2,81.1,71.6,0.03,9.2,"Rain, Partially cloudy"
08,14,1,82.3,66.64,0.0,9.7,Partially cloudy
08,16,2,81.3,71.8,0.0,9.9,Partially cloudy
08,29,1,81.5,63.36,0.0,12.8,Partially cloudy
08,30,1,80.7,64.33,0.0,13.9,Clear
09,01,1,80.6,70.03,0.65,8.1,"Rain, Partially cloudy"
09,05,2,77.1,65.16,0.0,6.4,Clear
09,07,1,79.4,57.4,0.0,6.9,Clear
09,09,2,80.4,55.9,0.0,9.9,Partially cloudy
09,10,1,80.1,57.95,0.0,9.2,Partially cloudy
09,11,1,80.6,63.1,0.0,10.3,Partially cloudy
09,22,1,78.2,64.29,0.0,11.0,Clear
09,24,1,79.7,63.7,0.0,5.3,Clear
10,03,1,71.2,61.92,0.0,6.9,Partially cloudy
10,04,1,73.2,63.29,0.0,16.1,Partially cloudy
10,06,1,69.8,66.0,0.0,15.0,Clear
10,16,1,70.0,72.85,0.04,8.1,"Rain, Partially cloudy"
10,19,1,74.3,63.47,0.0,6.9,Partially cloudy
